Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;_data;_versao;_cnpj;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Patrimonio_Liquido;Valor_Patrimonial_Cotas;Cotas_Emitidas;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes;Percentual_Despesas_Taxa_Administracao
Classe;00.332.266/0001-31;2026-07-01;1;2026-08-13;VIA PARQUE SHOPPING FII RESP LTDA;1994-11-24;INVESTIDORES EM GERAL;BRFVPQCTF015;2800149;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br;2026-07-01;1;00332266000131;3332;;258037314.58;92.1512800140278;2800149;0.003494;0.004877;0;0.000226
Classe;00.613.094/0001-74;2026-07-01;1;2026-08-14;FII PANAMBY;1995-03-14;INVESTIDORES EM GERAL;BRPABYCTF012;758400;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;N;N;S;N;N;BANCO GENIAL S.A.;45246410000155;Praia de Botafogo;228;9º Andar;Botafogo;Rio de Janeiro;RJ;22250-906;(21) 3923-3000;(21) 3923-3046;;www.genialinvestimentos.com.br;structured-funds@genial.com.vc;2026-07-01;1;00613094000174;586;570;-27306336.01;-36.0051898866034;758400;0.007954;-0.000827;0;0
Classe;00.762.723/0001-28;2026-07-01;1;2026-08-14;FUNDO DE INV. IMOBILIARIO CENTRO TEXTIL INTERNACIONAL;1995-08-18;INVESTIDORES EM GERAL;BRCTXTCTF014;6213646;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS - DTVM LTDA;72600026000181;AVENIDA CHEDID JAFET;222;BLOCO B - CONJUNTO 32;VILA OLIMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-07-01;1;00762723000128;2209;;96509765.35;15.5319059614919;6213646;-0.033565;0;0;0.000542
Classe;00.868.235/0001-08;2026-07-01;1;2026-08-10;HERMES FII DE RESPONSABILIDADE LIMITADA;1995-10-03;INVESTIDORES EM GERAL;BRHERMCTF004;54316;N;N;;Outros;Definida;Indeterminado;;31/12;N;S;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;Avenida Chedid Jafet;222;Conjunto 32, Bloco B;Vila Olímpia;São Paulo;SP;04551-065;11 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;00868235000108;5;;122205482.55;2249.89841943442;54316;0.006436;0.002677;0;0.000593
Classe;01.201.140/0001-90;2026-07-01;1;2026-08-13;GRAND PLAZA SHOPPING FII DE RESPONSABILIDADE LIMITADA;1996-05-17;INVESTIDORES EM GERAL;BRABCPCTF000;4709082;N;N;;Shoppings;Definida;Indeterminado;;31/12;S;N;N;S;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - Bloco B;Vila Olímpia;São Paulo;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;ri@riobravo.com.br;2026-07-01;1;01201140000190;13150;;521436008.46;110.729863795109;4709082;0.004748;0.004966;0;0.000198
Classe;01.235.622/0001-61;2026-07-01;2;2026-08-20;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO;1996-10-07;INVESTIDOR QUALIFICADO;BRFTCECTF005;1354138.00003178;N;N;;Multicategoria;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com;2026-07-01;2;01235622000161;124;;4004146606.96;2956.97086033036;1354138.00003178;0.050167;0.042959;;0.00104767896927354
Fundo;01.356.517/0001-80;2026-07-01;1;2026-08-11;LAGRA FUNDO DE INVESTIMENTO IMOBILIARIO;1996-08-12;INVESTIDORES EM GERAL;0;56701;S;S;;Multicategoria;Definida;Indeterminado;;31/12;N;N;S;N;N;MOMENTO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LRDA.;97447304000133;RUA DA AJUDA;35;SALA 1901 PARTE;CENTRO;RIO DE JANEIRO;RJ;20040-915;(21) 3266-6666;;;http://fnet.bmfbovespa.com.br;lagra@saoclementesa.com.br;2026-07-01;1;01356517000180;5;5;175114232.67;3088.3799698418;56701;0.056427;0;0;0.0004
Classe;01.497.954/0001-14;2026-07-01;1;2026-08-11;FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL;1996-10-22;INVESTIDORES EM GERAL;BRMISTCTF016;8703994;N;N;;Outros;Definida;Indeterminado;;31/12;N;N;S;N;N;CORRETORA GERAL DE VALORES E CÂMBIO LTDA;92858380000118;RUA DR. JOSÉ MONTAURY;139;5º AO 8º ANDAR;CENTRO HISTÓRICO;PORTO ALEGRE;RS;90.010-090;(51) 3213-2727;;;www.geralinvestimentos.com.br;edegasperin@geralinvestimentos.com.br;2026-07-01;1;01497954000114;5;;163852186.77;18.8249425229383;8703994;0.002243;0.002973;0;0.000136
Classe;01.601.918/0001-59;2026-07-01;1;2026-08-14;FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESP LTDA;1997-01-14;INVESTIDORES EM GERAL;BRFTLZCTF001;500000;S;N;;Outros;Definida;Indeterminado;;31/12;N;N;S;N;N;RIO BRAVO INVESTIMENTOS DTVM LTDA;72600026000181;AV. CHEDID JAFET;222;Conjunto 32 - BLOCO B;VILA OLÍMPIA;SÃO PAULO;SP;04551-065;(11) 3509-6600;;;www.riobravo.com.br;fundosimobiliarios@riobravo.com.br;2026-07-01;1;01601918000159;1;;47370834.65;94.7416693;500000;0.00703;0;0;0.001344
Classe;01.633.741/0001-72;2026-07-01;1;2026-08-13;FII MEMORIAL OFFICE RESP LTDA;1997-03-18;INVESTIDORES EM GERAL;BRFMOFCTF010;508008;N;N;;Escritórios;Definida;Indeterminado;;31/12;S;N;N;S;N;HEDGE INVESTMENTS DTVM LTDA;07253654000176;AVENIDA BRIGADEIRO FARIA LIMA;3600;11º ANDAR CJ 112;ITAIM BIBI;SÃO PAULO;SP;04538-132;(11) 5412-5400;;;www.hedgeinvest.com.br;dtvm@hedgeinvest.com.br;2026-07-01;1;01633741000172;373;;22832894.5;44.9459349065369;508008;-0.056176;0;0;0.000939
