Tipo_Fundo_Classe;CNPJ_Fundo_Classe;Data_Referencia;Versao;Data_Entrega;Nome_Fundo_Classe;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email;_data;_versao;_cnpj;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Patrimonio_Liquido;Valor_Patrimonial_Cotas;Cotas_Emitidas;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes;Percentual_Despesas_Taxa_Administracao
Classe;10.522.648/0001-81;2026-07-01;1;2026-08-14;DOVEL FII;2021-03-19;INVESTIDOR QUALIFICADO;BRDOVLCTF006;66406.0074;N;N;;Escritórios;Ativa;Determinado;2045-03-19;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;13486793000142;Rua Alves Guimarães;1216;;Pinheiros;São Paulo;SP;05410-002;(11) 3509-0600;;;www.apexgroup.com/apex-brazil/;infolegal@apexgroup.com;2026-07-01;1;10522648000181;101;;38751862.33;583.559588164609;66406.0074;0.013619;0.01104;;0.000961960219680622
Classe;11.945.604/0001-27;2026-07-01;2;2026-08-26;RB CAPITAL DESENVOLVIMENTO RESIDENCIAL II FII - FII;2010-09-27;INVESTIDOR QUALIFICADO;BRRBDSCTF006;126523;N;N;;Residencial;Ativa;Determinado;2026-12-31;30/06;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;36113876000191;Av. das Américas;3434;Bl. 7 Grupo 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br;2026-07-01;2;11945604000127;806;;3114522.96;24.6162591781731;126523;-0.001581;0;0;0.001846
Classe;12.969.125/0001-03;2026-07-01;1;2026-08-12;FII CAIXA INCORPORAÇÃO;2012-05-31;INVESTIDOR PROFISSIONAL;BRINCPCTF008;467;N;N;;Residencial;Ativa;Determinado;2028-12-30;31/12;N;S;N;N;S;CAIXA ECONOMICA FEDERAL;00360305000104;AVENIDA PAULISTA;750;9º Andar;Jardim Paulista;São Paulo;SP;01310-908;(11) 3572-4400;;;www.caixa.gov.br;geafi06@caixa.gov.br;2026-07-01;1;12969125000103;1;;195466330.16;418557.452162741;467;0.013294;0;0;0.000545
Classe;12.989.974/0001-29;2026-07-01;1;2026-08-07;CAIXA FUNDO DE INVESTIMENTO IMOBILIARIO PORTO MARAVILHA;2011-05-27;INVESTIDOR QUALIFICADO;BRPMRVCTF001;4735662339.00747;N;N;;Multicategoria;Ativa;Determinado;2064-11-25;31/12;N;N;S;N;N;CAIXA ECONÔMICA FEDERAL;00360305000104;AVENIDA PAULISTA;750;9º ANDAR;BELA VISTA;SÃO PAULO;SP;01310-908;11 3572.4400;;;www.caixa.gov.br;geafi06@caixa.gov.br;2026-07-01;1;12989974000129;1;;6926790721.66;1.46268678503623;4735662339.00747;0.000322;0;0;0.000182508
Classe;13.020.465/0001-56;2026-07-01;1;2026-08-12;FII CAIXA DESENVOLVIMENTO IMOBILIARIO;2013-05-01;INVESTIDOR QUALIFICADO;BRCXDSCTF002;297.7;S;N;;Multicategoria;Ativa;Determinado;2029-06-30;31/12;N;S;N;N;S;CAIXA ECONOMICA FEDERAL;00360305000104;AVENIDA PAULISTA;750;9º Andar;Jardim Paulista;São Paulo;SP;01310-908;(11) 3572-4400;;;www.caixa.gov.br;geafi06@caixa.gov.br;2026-07-01;1;13020465000156;1;;-12883882.11;-43278.0722539469;297.7;-0.00572;0;0;0
Classe;13.509.993/0001-73;2026-07-01;1;2026-08-12;POLO MULTISETORIAL CI DE FI IMOBILIARIO - RL;2011-11-14;INVESTIDOR PROFISSIONAL;BRPLO4CTF008;106.95516384;S;N;;Multicategoria;Ativa;Determinado;2038-03-20;31/12;N;N;S;N;N;SANTANDER CACEIS BRASIL DTVM S.A.;62318407000119;Rua Amador Bueno;474;;Santo Amaro;São Paulo;SP;04752-005;(11) 5538-5489;;;www.s3dtvm.com.br;SC_fundosimobiliarios@s3caceis.com.br;2026-07-01;1;13509993000173;5;;18588944.29;173801.279177209;106.95516384;-0.001582;0;0.218243225171234;0.001076
Classe;13.842.683/0001-76;2026-07-01;1;2026-08-13;VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOB;2012-11-14;INVESTIDOR QUALIFICADO;BRVLJSCTF004;26068.6439189;N;N;;Escritórios;Definida;Determinado;2021-07-14;31/12;S;S;N;S;N;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;informacoesregulatorias@planner.com.br;2026-07-01;1;13842683000176;9;0;16713684.45;641.141307618323;26068.6439189;0.122447;0;0;0.000418
Classe;14.088.246/0001-71;2026-07-01;1;2026-08-13;FUNDO DE INVESTIMENTO IMOBILIÁRIO RAILWAY MALL I - FII;2012-07-30;INVESTIDOR QUALIFICADO;BRRWYMCTF001;230.69976;N;N;;Shoppings;Ativa;Determinado;2026-07-30;31/12;N;S;N;N;S;PLANNER CORRETORA DE VALORES S.A.;00806535000154;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;informacoesregulatorias@planner.com.br;2026-07-01;1;14088246000171;9;0;94593681.94;410029.390320996;230.69976;0.006734;0;0;0.000137
Classe;14.423.780/0001-97;2026-07-01;1;2026-08-14;KINEA II REAL ESTATE EQUITY FII RESPONSABILIDADE LIMITADA;2011-12-01;INVESTIDOR QUALIFICADO;BRKNRECTF006;18547161.2;N;N;;Residencial;Ativa;Determinado;2023-08-14;30/06;S;N;N;S;N;INTRAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62418140000131;AV BRIGADEIRO FARIA LIMA;3400;10º Andar;ITAIM BIBI;SÃO PAULO;SP;04538132;55 (11) 30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br;2026-07-01;1;14423780000197;5264;;11933668.58;0.643422918004293;18547161.2;0.002325;0;0;4.3E-05
Classe;14.631.148/0001-39;2026-07-01;1;2026-08-07;HAZ FUNDO DE INVESTIMENTO IMOBILIARIO;2012-04-01;INVESTIDORES EM GERAL;BRATCRCTF008;928908.19633869;N;N;;Multicategoria;Ativa;Determinado;2023-11-09;30/06;S;N;N;S;N;RJI CTVM LTDA;42066258000130;AVENIDA RIO BRANCO;138;4º ANDAR - SALA 402;CENTRO;RIO DE JANERIO;RJ;20040-002;21-3500-4514;21-3500-4514;;www.rjicv.com.br;controladoria.fundos@rjicv.com.br;2026-07-01;1;14631148000139;33;;68965403.04;74.2435079288013;928908.19633869;0.003404;0;0;0.000182700302537084
