TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;QT_COTA;VL_PATRIM_COTA;NR_COTST;ENTID_INVEST;PUBLICO_ALVO;VL_CAP_COMPROM;QT_COTA_SUBSCR;VL_CAP_SUBSCR;QT_COTA_INTEGR;VL_CAP_INTEGR;VL_INVEST_FIP_COTA;NR_COTST_SUBSCR_PF;PR_COTA_SUBSCR_PF;NR_COTST_SUBSCR_PJ_NAO_FINANC;PR_COTA_SUBSCR_PJ_NAO_FINANC;NR_COTST_SUBSCR_BANCO;PR_COTA_SUBSCR_BANCO;NR_COTST_SUBSCR_CORRETORA_DISTRIB;PR_COTA_SUBSCR_CORRETORA_DISTRIB;NR_COTST_SUBSCR_PJ_FINANC;PR_COTA_SUBSCR_PJ_FINANC;NR_COTST_SUBSCR_INVNR;PR_COTA_SUBSCR_INVNR;NR_COTST_SUBSCR_EAPC;PR_COTA_SUBSCR_EAPC;NR_COTST_SUBSCR_EFPC;PR_COTA_SUBSCR_EFPC;NR_COTST_SUBSCR_RPPS;PR_COTA_SUBSCR_RPPS;NR_COTST_SUBSCR_SEGUR;PR_COTA_SUBSCR_SEGUR;NR_COTST_SUBSCR_CAPITALIZ;PR_COTA_SUBSCR_CAPITALIZ;NR_COTST_SUBSCR_FII;PR_COTA_SUBSCR_FII;NR_COTST_SUBSCR_FI;PR_COTA_SUBSCR_FI;NR_COTST_SUBSCR_DISTRIB;PR_COTA_SUBSCR_DISTRIB;NR_COTST_SUBSCR_OUTRO;PR_COTA_SUBSCR_OUTRO;NR_TOTAL_COTST_SUBSCR;PR_TOTAL_COTA_SUBSCR;CLASSE_COTA;NR_COTST_SUBSCR_CLASSE;QT_COTA_SUBSCR_CLASSE;QT_COTA_INTEGR_CLASSE;VL_QUOTA_CLASSE;DIREITO_POLIT_CLASSE;DIREITO_ECON_CLASSE
CLASSES - FIP;06.033.235/0001-66;CRT FIP - MULTIESTRATÉGIA;2026-04-30;28866473.760000000000;;;;S;Investidores qualificados;13162950.24000000;103.00000000;13162950.24000000;13162950.24000000;13162950.24000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;100.00000000;1;1.00000000;103.00000000;103.00000000;280257.02679611;N;N
CLASSES - FIP;06.033.235/0001-66;CRT FIP - MULTIESTRATÉGIA;2026-08-31;28895841.890000000000;;;;S;Investidores qualificados;13162950.24000000;103.00000000;13162950.24000000;13162950.24000000;13162950.24000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;100.00000000;1;1.00000000;103.00000000;103.00000000;280542.15427184;N;N
CLASSES - FIP;06.962.594/0001-06;INVESTIDORES INSTITUCIONAIS II - FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATÉGIA;2026-04-30;3942703.810000000000;;;;S;Investidores qualificados;300000000.00000000;407203.02985557;300000000.00000000;407203.02981000;296310133.22000000;0.00000000;4.00000000;3.57000000;3.00000000;3.25000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;20.00000000;0.00000000;0.00000000;0.00000000;0.00000000;5.00000000;22.80000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;6.00000000;50.38000000;0.00000000;0.00000000;0.00000000;0.00000000;19.00000000;100.00000000;Unica;19.00000000;407203.02985557;407203.02981000;9.68240290;N;N
CLASSES - FIP;06.962.594/0001-06;INVESTIDORES INSTITUCIONAIS II - FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATÉGIA;2026-04-30;3942703.806799980000;;;;S;Investidores qualificados;300000000.00000000;407203.02985557;300000000.00000000;407203.02981000;296310133.22000000;0.00000000;4.00000000;3.57000000;3.00000000;3.25000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;20.00000000;0.00000000;0.00000000;0.00000000;0.00000000;5.00000000;22.80000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;6.00000000;50.38000000;0.00000000;0.00000000;0.00000000;0.00000000;19.00000000;100.00000000;1;19.00000000;407203.02985557;407203.02981000;9.68240290;N;N
CLASSES - FIP;06.962.594/0001-06;INVESTIDORES INSTITUCIONAIS II - FUNDO DE INVESTIMENTO EM PARTICIPACOES MULTIESTRATÉGIA;2026-08-31;33442723.336700000000;;;;S;Investidores qualificados;300000000.00000000;407203.02985557;300000000.00000000;407203.02985557;296310133.22000000;0.00000000;4.00000000;3.57000000;3.00000000;3.25000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;20.00000000;0.00000000;0.00000000;0.00000000;0.00000000;3.00000000;13.47000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;11.00000000;59.71000000;0.00000000;0.00000000;0.00000000;0.00000000;22.00000000;100.00000000;1;22.00000000;407203.02985557;407203.02985557;82.12788430;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-04-30;-280022.050000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3578824.75952657;1196.19201900;3578824.75952657;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;1;2.00000000;727.05091020;727.05091020;-234.09452847;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-04-30;-280022.050000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3578824.75952657;1196.19201900;3578824.75952657;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;2;5.00000000;317.81279210;317.81279210;-234.09451051;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-04-30;-280022.050000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3578824.75952657;1196.19201900;3578824.75952657;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;3;6.00000000;148.13847120;148.13847120;-234.09455842;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-04-30;-280022.050000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3578824.75952657;1196.19201900;3578824.75952657;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;4;1.00000000;3.18984550;3.18984550;-234.09597738;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-08-31;-420229.370000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3575987.03826767;1196.19201900;3575987.03826767;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;1;2.00000000;727.05091020;727.05091020;-351.30594903;N;N
CLASSES - FIP;07.319.087/0001-03;ASCET I - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2026-08-31;-420229.370000000000;;;;S;Investidores profissionais;0.00000000;1196.19201900;3575987.03826767;1196.19201900;3575987.03826767;0.00000000;14.00000000;100.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;100.00000000;2;5.00000000;317.81279210;317.81279210;-351.30593474;N;N
