CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ;QT_COTA;VL_PATRIM_COTA;NR_COTST;ENTID_INVEST;PUBLICO_ALVO;VL_CAP_COMPROM;QT_COTA_SUBSCR;VL_CAP_SUBSCR;QT_COTA_INTEGR;VL_CAP_INTEGR;VL_INVEST_FIP_COTA;NR_COTST_SUBSCR_PF;PR_COTA_SUBSCR_PF;NR_COTST_SUBSCR_PJ_NAO_FINANC;PR_COTA_SUBSCR_PJ_NAO_FINANC;NR_COTST_SUBSCR_BANCO;PR_COTA_SUBSCR_BANCO;NR_COTST_SUBSCR_CORRETORA_DISTRIB;PR_COTA_SUBSCR_CORRETORA_DISTRIB;NR_COTST_SUBSCR_PJ_FINANC;PR_COTA_SUBSCR_PJ_FINANC;NR_COTST_SUBSCR_INVNR;PR_COTA_SUBSCR_INVNR;NR_COTST_SUBSCR_EAPC;PR_COTA_SUBSCR_EAPC;NR_COTST_SUBSCR_EFPC;PR_COTA_SUBSCR_EFPC;NR_COTST_SUBSCR_RPPS;PR_COTA_SUBSCR_RPPS;NR_COTST_SUBSCR_SEGUR;PR_COTA_SUBSCR_SEGUR;NR_COTST_SUBSCR_CAPITALIZ;PR_COTA_SUBSCR_CAPITALIZ;NR_COTST_SUBSCR_FII;PR_COTA_SUBSCR_FII;NR_COTST_SUBSCR_FI;PR_COTA_SUBSCR_FI;NR_COTST_SUBSCR_DISTRIB;PR_COTA_SUBSCR_DISTRIB;NR_COTST_SUBSCR_OUTRO;PR_COTA_SUBSCR_OUTRO;NR_TOTAL_COTST_SUBSCR;PR_TOTAL_COTA_SUBSCR;CLASSE_COTA;NR_COTST_SUBSCR_CLASSE;QT_COTA_SUBSCR_CLASSE;QT_COTA_INTEGR_CLASSE;VL_QUOTA_CLASSE;DIREITO_POLIT_CLASSE;DIREITO_ECON_CLASSE
01.909.558/0001-57;INVESTIDORES INSTITUCIONAIS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2023-03-31;4603790.170000000000;;;;S;Investidores qualificados;403051116.57000000;728975.89894200;403051116.57000000;728975.89894200;403051116.57000000;0.00000000;0.00000000;0.00000000;2.00000000;1.33000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;11.00000000;90.97000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;7.70000000;0.00000000;0.00000000;0.00000000;0.00000000;15.00000000;100.00000000;1;15.00000000;728975.89894199;728975.89894199;6.31542164;N;N
01.909.558/0001-57;INVESTIDORES INSTITUCIONAIS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2023-06-30;4683887.460000000000;;;;S;Investidores qualificados;403051116.57000000;728975.89894200;403051116.57000000;728975.89894200;403051116.57000000;0.00000000;0.00000000;0.00000000;2.00000000;1.33000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;90.97000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;7.70000000;0.00000000;0.00000000;0.00000000;0.00000000;18.00000000;100.00000000;1;18.00000000;728975.89894199;728975.89894199;6.42529810;N;N
01.909.558/0001-57;INVESTIDORES INSTITUCIONAIS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2023-09-30;4783541.120000000000;;;;S;Investidores qualificados;403051116.57000000;728975.89894200;403051116.57000000;728975.89894200;403051116.57000000;0.00000000;0.00000000;0.00000000;2.00000000;1.33000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;14.00000000;90.97000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;7.70000000;0.00000000;0.00000000;0.00000000;0.00000000;18.00000000;100.00000000;1;18.00000000;728975.89894199;728975.89894199;6.56200174;N;N
01.909.558/0001-57;INVESTIDORES INSTITUCIONAIS FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;2023-12-31;4762019.790000000000;;;;S;Investidores qualificados;403051116.57000000;728975.89894200;403051116.57000000;728975.89894200;403051116.57000000;0.00000000;0.00000000;0.00000000;2.00000000;1.33000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;24.00000000;90.97000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;7.70000000;0.00000000;0.00000000;0.00000000;0.00000000;28.00000000;100.00000000;1;28.00000000;728975.89894199;728975.89894199;6.53247905;N;N
04.258.365/0001-71;MVP TECH FUND - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM EMPRESAS EMERGENTES DE BASE TECNOLÓGICA;2023-03-31;958080.790000000000;;;;S;Investidores qualificados;25505010.60000000;1275.25000000;25505010.60000000;1275.25000000;25505010.60000000;0.00000000;1.00000000;8.91000000;1.00000000;0.17000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;54.96000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;5.20000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;30.76000000;7.00000000;100.00000000;Única;7.00000000;1275.25000000;1275.25000000;751.28829050;N;N
04.258.365/0001-71;MVP TECH FUND - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM EMPRESAS EMERGENTES DE BASE TECNOLÓGICA;2023-06-30;984962.910000000000;;;;S;Investidores qualificados;25505010.60000000;1275.25000000;25505010.60000000;1275.25000000;25505010.60000000;0.00000000;1.00000000;8.91000000;1.00000000;0.17000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;54.96000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;5.20000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;30.76000000;7.00000000;100.00000000;Única;7.00000000;1275.25000000;1275.25000000;751.28829050;N;N
04.258.365/0001-71;MVP TECH FUND - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM EMPRESAS EMERGENTES DE BASE TECNOLÓGICA;2023-09-30;745895.890000000000;;;;S;Investidores qualificados;25505010.60000000;1275.25000000;25505010.60000000;1275.25000000;25505010.60000000;0.00000000;1.00000000;8.91000000;1.00000000;0.17000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;54.96000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;5.20000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;30.76000000;7.00000000;100.00000000;ÚNICA;7.00000000;1275.25000000;1275.25000000;584.90145500;N;N
04.258.365/0001-71;MVP TECH FUND - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM EMPRESAS EMERGENTES DE BASE TECNOLÓGICA;2023-12-31;27036.970000000000;;;;S;Investidores qualificados;25505010.60000000;1275.25000000;25505010.60000000;1275.25000000;25505010.60000000;0.00000000;1.00000000;8.91000000;1.00000000;0.17000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;54.96000000;0.00000000;0.00000000;0.00000000;0.00000000;1.00000000;5.20000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;2.00000000;30.76000000;7.00000000;100.00000000;ÚNICA;7.00000000;1275.25000000;1275.25000000;21.20130070;N;N
04.904.732/0001-67;REIF - RETURNING ENTREPRENEUR INVESTMENT FUND - FUNDO DE INVEST. EM PARTICIP. EM EMPRESAS EMERGENTES;2023-03-31;1954826.190000000000;;;;S;Investidores qualificados;22000000.00000000;2200.00000000;22000000.00000000;2200.00000000;22000000.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;3.00000000;68.18000000;0.00000000;0.00000000;2.00000000;31.82000000;5.00000000;100.00000000;0;0.00000000;0.00000000;0.00000000;0.00000000;N;N
04.904.732/0001-67;REIF - RETURNING ENTREPRENEUR INVESTMENT FUND - FUNDO DE INVEST. EM PARTICIP. EM EMPRESAS EMERGENTES;2023-03-31;1954826.190000000000;;;;S;Investidores qualificados;22000000.00000000;2200.00000000;22000000.00000000;2200.00000000;22000000.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;3.00000000;68.18000000;0.00000000;0.00000000;2.00000000;31.82000000;5.00000000;100.00000000;Única;5.00000000;2200.00000000;2200.00000000;888.55735910;N;N
