TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
CLASSES - FIF;00.017.024/0001-53;;2026-08-03;1095646.22;44.275588000000;1207786.03;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-04;1096222.50;44.294551800000;1208303.34;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-05;1096801.23;44.313612700000;1208823.30;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-06;1097383.41;44.323994800000;1209106.51;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-07;1097957.85;44.341192000000;1209575.63;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-10;1098539.35;44.358456300000;1210046.58;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-11;1099122.66;44.375978000000;1210524.55;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-12;1099703.81;44.393575500000;1211004.59;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-13;1100283.40;44.411073000000;1211481.90;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-14;1100867.09;44.428511000000;1211957.59;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-17;1101453.12;44.446088800000;1212437.09;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-18;1102022.23;44.463750800000;1212918.89;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-19;1102586.93;44.480793300000;1213383.79;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-20;1103157.27;44.497672700000;1213844.24;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-21;1103724.90;44.514758500000;1214310.32;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-24;1104303.95;44.531746000000;1214773.72;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-25;1104880.99;44.549150400000;1215248.49;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-26;1105453.87;44.566482900000;1215721.30;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-27;1106020.91;44.583661000000;1216189.90;0.00;0.00;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-28;1106592.80;44.600625800000;1213810.23;0.00;2842.45;1
CLASSES - FIF;00.017.024/0001-53;;2026-08-31;1107165.36;44.617809300000;1214277.88;0.00;0.00;1
CLASSES - FIF;00.068.305/0001-35;;2026-08-03;41103383.84;46.992252000000;41090443.07;0.00;7638.27;5554
CLASSES - FIF;00.068.305/0001-35;;2026-08-04;41113358.54;47.014743000000;41110108.78;0.00;0.00;5554
CLASSES - FIF;00.068.305/0001-35;;2026-08-05;41137452.44;47.039507000000;41131682.26;0.00;80.84;5553
CLASSES - FIF;00.068.305/0001-35;;2026-08-06;41159663.48;47.062025000000;41151371.87;0.00;0.00;5553
CLASSES - FIF;00.068.305/0001-35;;2026-08-07;41180666.66;47.083267000000;41169945.64;0.00;0.00;5553
CLASSES - FIF;00.068.305/0001-35;;2026-08-10;41196772.32;47.106559000000;41183502.96;0.00;6810.01;5552
CLASSES - FIF;00.068.305/0001-35;;2026-08-11;41204808.53;47.128171000000;41201296.24;0.00;1101.06;5551
CLASSES - FIF;00.068.305/0001-35;;2026-08-12;41227561.94;47.153039000000;41221518.39;0.00;1518.05;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-13;41240599.03;47.176223000000;41231991.16;0.00;9795.53;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-14;41263917.53;47.200012000000;41252782.26;0.00;0.00;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-17;41166032.95;47.222090000000;41152310.97;0.00;119767.33;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-18;41176583.61;47.245373000000;41172601.34;0.00;0.00;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-19;41195360.57;47.268613000000;41188837.89;0.00;4016.54;5550
CLASSES - FIF;00.068.305/0001-35;;2026-08-20;41203040.59;47.290656000000;41193934.02;0.00;14111.92;5548
CLASSES - FIF;00.068.305/0001-35;;2026-08-21;41222881.60;47.312783000000;41211843.04;0.00;1364.96;5547
CLASSES - FIF;00.068.305/0001-35;;2026-08-24;41236527.91;47.333826000000;41222931.88;0.00;7240.56;5545
CLASSES - FIF;00.068.305/0001-35;;2026-08-25;41246388.26;47.356323000000;41242524.89;0.00;0.00;5545
CLASSES - FIF;00.068.305/0001-35;;2026-08-26;41270527.60;47.381138000000;41264136.19;0.00;0.00;5545
CLASSES - FIF;00.068.305/0001-35;;2026-08-27;41291870.92;47.402741000000;41282950.20;0.00;0.00;5545
CLASSES - FIF;00.068.305/0001-35;;2026-08-28;41311252.06;47.424595000000;41299790.84;0.00;2191.99;5544
CLASSES - FIF;00.068.305/0001-35;;2026-08-31;41316391.61;47.446443000000;41302322.01;0.00;16494.83;5542
CLASSES - FIF;00.071.477/0001-68;;2026-08-03;706517896.88;16.543233489000;706489335.35;3541.93;1558819.15;28686
