ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
2787;26760;09277006000185;16586;2025-06-18;2025-06-18;2025-06-18;Classes de Cotas de Fundos FIP;Brasil Mezanino  Infraestrutura - Fundo de Investimento em Participações Multiestratégia - Responsab;Em Funcionamento Normal;2025-06-18;;;;;;S;;N;Fechado;;;24117495.86;2026-04-30;07326840000198;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;37678915000160;FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;
2923;26777;11021363000120;13242;2025-06-02;2025-06-02;2025-06-02;Classes de Cotas de Fundos FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ENERGIAS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-02;;;;;;;;N;Fechado;;;89855261.25;2026-04-30;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
2982;26792;11512690000184;13277;2025-01-27;2025-01-27;2025-01-27;Classes de Cotas de Fundos FIP;Patria Infraestrutura Fundo de Investimento em Participações Mult Investimento no Exterior;Em Funcionamento Normal;2025-01-27;;;;;;S;;N;Fechado;;;790059064.72;2026-04-30;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
3001;26796;11649762000130;13331;2025-05-28;2025-05-28;2025-05-28;Classes de Cotas de Fundos FIP;PÁTRIA INFRAESTRUTURA TEAM - FUNDO DE INVESTIMENTO EM QUOTAS DE FIP;Em Funcionamento Normal;2025-05-28;;;;;;S;;N;Fechado;;;13767716.79;2026-04-30;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
3089;26818;12517924000149;13340;2025-05-28;2025-05-28;2025-05-28;Classes de Cotas de Fundos FIP;Patria Infraestrutura Fundo de Investimentos em Quotas de Fundo de Investimento em Participações;Em Funcionamento Normal;2025-05-28;;;;;;S;;N;Fechado;;;33048356.36;2026-04-30;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
3296;26864;14584094000106;10529;2025-05-21;2025-05-21;2025-05-21;Classes de Cotas de Fundos FIP;BTG PACTUAL INFRAESTRUTURA II FIC DE FI EM PARTICIPAÇÕES MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-05-21;;;;;;S;;N;Fechado;;;11287729.13;2026-04-30;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;;
3299;26865;14596751000127;11100;2025-06-02;2025-06-02;2025-06-02;Classes de Cotas de Fundos FIP;BTG PACTUAL INFRAESTRUTURA II FIP MULTIESTRATÉGIA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-02;;;;;;S;;N;Fechado;;;56193944.90;2026-04-30;54276936000179;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;30306294000145;BANCO BTG PACTUAL S/A;;
3366;26885;15254448000109;7048;2024-06-09;2012-11-09;2024-06-09;Classes de Cotas de Fundos FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES INFRAESTRUTURA MILÃO DE RESPONSABILIDADE ILIMITADA;Em Funcionamento Normal;2024-06-09;;;;;;N;;N;Fechado;;;1786580.32;2026-04-30;28455792000108;CONATUS AUDITORES INDEPENDENTES S/S;;;;
3528;26927;17322459000104;13870;2025-06-18;2025-06-18;2025-06-18;Classes de Cotas de Fundos FIP;ASTRA INFRAESTRUTURA I FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;Em Funcionamento Normal;2025-06-18;;;;;;S;;N;Fechado;;;1711696831.33;2026-04-30;18596945000183;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;16695922000109;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;;
3573;26935;17870733000180;13900;2024-10-01;2024-10-01;2024-10-01;Classes de Cotas de Fundos FIP;Patria Infraestrutura III Fundo de Investimento em Participações Multiestratégia;Em Funcionamento Normal;2024-10-01;;;;;;S;;N;Fechado;;;1492048895.92;2026-04-30;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;APEX GROUP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;
