ID_Registro_Fundo;CNPJ_Fundo;Codigo_CVM;Data_Registro;Data_Constituicao;Tipo_Fundo;Denominacao_Social;Data_Cancelamento;Situacao;Data_Inicio_Situacao;Data_Adaptacao_RCVM175;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Patrimonio_Liquido;Data_Patrimonio_Liquido;Diretor;CNPJ_Administrador;Administrador;Tipo_Pessoa_Gestor;CPF_CNPJ_Gestor;Gestor
2787;09277006000185;108008;2008-01-23;2008-01-23;FIP;Brasil Mezanino  Infraestrutura - Fundo de Investimento em Participações Multiestratégia - Responsab;;Em Funcionamento Normal;2008-06-20;2025-06-18;2026-04-01;2027-03-31;15224909.13;2025-04-30;ANA RACY PARENTE;32582247000150;FIDD ADMINISTRAÇÃO DE RECURSOS LTDA;PJ;05977098000155;FRANKLIN TEMPLETON ALTERNATIVES BRASIL ADMINISTRAÇÃO DE INVESTIMENTOS LTDA.
2923;11021363000120;109033;2009-08-07;2009-08-12;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ENERGIAS RESPONSABILIDADE LIMITADA;;Em Funcionamento Normal;2012-08-22;2025-06-02;2026-04-01;2027-03-31;132971877.37;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;23025053000162;APEX GROUP INVESTIMENTOS LTDA.
2982;11512690000184;110012;2010-02-11;2010-03-02;FIP;Patria Infraestrutura Fundo de Investimento em Participações Mult Investimento no Exterior;;Em Funcionamento Normal;2010-08-23;2025-01-27;2026-01-01;2026-12-31;1244702953.29;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3001;11649762000130;110044;2010-04-28;2010-06-23;FIP;PÁTRIA INFRAESTRUTURA TEAM - FUNDO DE INVESTIMENTO EM QUOTAS DE FIP;;Em Funcionamento Normal;2011-02-18;2025-05-28;2026-01-01;2026-12-31;21633046.17;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3089;12517924000149;110117;2010-10-18;2010-10-26;FIP;Patria Infraestrutura Fundo de Investimentos em Quotas de Fundo de Investimento em Participações;;Em Funcionamento Normal;2011-02-24;2025-05-28;2026-01-01;2026-12-31;51220685.37;2025-04-30;JOSE WALTER LUCAS;23025053000162;APEX GROUP INVESTIMENTOS LTDA.;PJ;12461756000117;PÁTRIA INVESTIMENTOS LTDA.
3151;13301359000140;111059;2011-05-10;2011-05-23;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ENERGIA SUSTENTÁVEL II;;Em Liquidação;2023-07-20;;2026-01-01;2026-12-31;34169575.72;2023-06-30;RICARDO BARBIERI DE ANDRADE;00066670000100;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;03384738000198;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
3152;13301410000114;111057;2011-05-10;2011-05-23;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ENERGIA SUSTENTÁVEL III;;Em Liquidação;2023-07-20;;2026-01-01;2026-12-31;29297896.47;2023-06-30;RICARDO BARBIERI DE ANDRADE;00066670000100;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;03384738000198;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
3153;13301469000102;111058;2011-05-10;2011-05-23;FIP;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA ENERGIA SUSTENTÁVEL I;;Em Liquidação;2023-07-20;;2026-01-01;2026-12-31;6707291.19;2023-06-30;RICARDO BARBIERI DE ANDRADE;00066670000100;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;PJ;03384738000198;TIVIO CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
3172;13416322000168;111048;2011-04-18;2011-04-28;FIP;Pátria Energia Renovável - Fundo de Investimento em Participações - Infraestrutura;2018-12-14;Cancelado;2018-12-14;;2021-01-01;2021-12-31;0.00;2018-12-31;LUCAS DANICEK BORGES;01913198000167;PIP INVESTIMENTOS E PARTICIPAÇÕES LTDA.;PJ;01913198000167;PIP INVESTIMENTOS E PARTICIPAÇÕES LTDA.
3202;13695971000145;111156;2011-11-09;2011-11-25;FIP;FUNDO DE INVESTIMENTOS EM PARTICIPAÇÕES MEZANINO ÓLEO E GÁS INFRAESTRUTURA;2015-07-05;Cancelado;2015-07-05;;;;0.00;2015-03-31;CARLOS ALBERTO SARAIVA;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;PJ;14400791000151;DMI INVESTIMENTOS E GESTAO DE RECURSOS LTDA
