ID_Registro_Classe;ID_Subclasse;Codigo_CVM;Data_Constituicao;Data_Inicio;Denominacao_Social;Situacao;Data_Inicio_Situacao;Forma_Condominio;Exclusivo;Publico_Alvo;Previdenciario;Exclusivo_INR;Exclusivo_Previdencia_Complementar
16795;I3JUK1765395302;436682;2025-12-10;2025-12-10;SUBCLASSE A LEGATUM CLASSE DE INVESTIMENTO EM INFRAESTRUTURA EM RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-12-23;Fechado;N;Qualificado;N;N;N
16795;P8MUY1765396456;436720;2025-12-10;2025-12-10;SUBCLASSE B LEGATUM CLASSE DE INVESTIMENTO EM INFRAESTRUTURA EM RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-12-23;Fechado;N;Qualificado;N;N;N
18285;AMQRI1785938635;508381;2026-08-05;2026-08-05;SUBCLASSE I - GROELÂNDIA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO;Em Funcionamento Normal;2026-08-05;Fechado;S;Profissional;N;N;N
18285;JDPBT1785938856;508390;2026-08-05;2026-08-05;SUBCLASSE II - GROELÂNDIA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO;Fase Pré-Operacional;2026-08-05;Fechado;S;Profissional;N;N;N
18771;HLUQU1743113258;198617;2025-03-27;2025-03-27;SUBCLASSE A SAFRA INFRA CDI Q26 CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2026-08-25;Aberto;N;Profissional;N;N;N
19393;YIJII1764684642;433080;2025-12-02;2025-12-02;SUBCLASSE A MIRANDA LUAR CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-12-22;Aberto;S;Profissional;N;N;N
19632;7NBTA1734640051;136506;2024-12-19;2024-12-19;SUBCLASSE IBIUNA CREDIT INVESTIMENTO EM INFRAESTRUTURA;Em Funcionamento Normal;2024-12-19;Aberto;N;Público Geral;N;N;N
19705;E2ZUF1764005060;430340;2025-11-24;2025-11-24;SUBCLASSE A VERUS VIA CAPITAL CLASSE DE INV EM COTAS DE INV EM INFRAESTRUTURA RF RESP LIMITADA;Em Funcionamento Normal;2025-11-26;Fechado;S;Profissional;N;N;N
19741;107SA1764168233;431184;2025-11-26;2025-11-26;SUBCLASSE A TELA CLASSE DE INVESTIMENTO EM COTAS DE INV EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-11-28;Fechado;S;Profissional;N;N;N
19854;EWSKK1764254769;431613;2025-11-27;2025-11-27;SUBCLASSE A ESCOLA DE SAGRES CIC DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2026-01-16;Fechado;S;Profissional;N;N;N
20146;ILMKK1761829453;421162;2025-10-30;2025-10-30;SUBCLASSE A DOUBLE W INVESTMENTS CLASSE DE INV EM COTAS DE INV EM INFRAESTRUTURA RF RESP LIMITADA;Em Funcionamento Normal;2025-11-19;Fechado;S;Profissional;N;N;N
20165;QUZUL1762346116;424153;2025-11-05;2025-11-05;SUBCLASSE A MARGARIDA CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-12-03;Fechado;S;Profissional;N;N;N
20176;0VWU71780929843;490466;2026-06-08;2026-06-08;SUBCLASSE SUBORDINADA SAFRA INFRA LIQUIDEZ PROGRESSIVO CI EM INFRAESTRUTURA RF RESP LIMITADA;Em Funcionamento Normal;2026-06-09;Aberto;N;Qualificado;N;N;N
20176;T3TRR1782747282;496936;2026-06-29;2026-06-29;SUBCLASSE SÊNIOR 2 SAFRA INFRA LIQUIDEZ PROGRESSIVO CLASSE DE INV EM INFRAESTRUTURA RF RESP LIMITADA;Em Funcionamento Normal;2026-06-29;Aberto;N;Qualificado;N;N;N
20203;KBTZP1763039752;426946;2025-11-13;2025-11-13;SUBCLASSE A RWK CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-11-27;Aberto;S;Profissional;N;N;N
20204;2OJGG1761052863;417620;2025-10-21;2025-10-21;SUBCLASSE A TAURUS CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-11-12;Aberto;S;Profissional;N;N;N
20277;IPPDN1761078091;417930;2025-10-21;2025-10-21;SUBCLASSE A J3F CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-12-02;Fechado;S;Profissional;N;N;N
20285;SDQY01736978340;158186;2025-01-15;2025-01-15;SUBCLASSE SÊNIOR SAFRA INFRA CONCEITO RENDA FIXA CI EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-01-24;Aberto;N;Qualificado;N;N;N
20285;VHQOI1736978054;158178;2025-01-15;2025-01-15;SUBCLASSE SUBORDINADA SAFRA INFRA CONCEITO RENDA FIXA CI EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-01-24;Aberto;N;Qualificado;N;N;N
20285;WH7AJ1736977113;;2025-01-15;2025-01-15;SUBCLASSE SÊNIOR SAFRA INFRA CONCEITO RENDA FIXA CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RESP LIMIT;Em Análise;2025-01-15;Aberto;N;Qualificado;N;N;N
20764;BIPUC1736979008;158208;2025-01-15;2025-01-15;SUBCLASSE SUBORDINADA SAFRA INFRA EXCLUSIVO RENDA FIXA CI EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2025-02-14;Aberto;S;Qualificado;N;N;N
20764;Z5I6Y1736978653;158194;2025-01-15;2025-01-15;SUBCLASSE SÊNIOR SAFRA INFRA EXCLUSIVO RENDA FIXA CI EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-02-14;Aberto;N;Qualificado;N;N;N
21680;7OSEJ1760531600;416096;2025-10-15;2025-10-15;SUBCLASSE A LAGO AZUL CLASSE DE INV EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-11-27;Aberto;S;Profissional;N;N;N
21724;8APMM1757629441;403393;2025-09-11;2025-09-11;SUBCLASSE A CECOTI CAPITAL CIC DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-09-24;Fechado;S;Profissional;N;N;N
21726;HRTNP1757629319;403377;2025-09-11;2025-09-11;SUBCLASSE A LOG CAPITAL CIC DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-09-24;Fechado;S;Profissional;N;N;N
21852;DZHS71736866700;156728;2025-01-14;2024-12-20;SUBCLASSE A LAKESIDE CLASSE DE INVESTIMENTO RENDA FIXA EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2025-08-15;Aberto;S;Profissional;N;N;N
21853;Q58K71736867582;156736;2025-01-14;2024-12-20;SUBCLASSE A PETTAINFRA CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-09-02;Aberto;S;Profissional;N;N;N
21861;LCZMH1736523412;155764;2025-01-10;2024-12-23;SUBCLASSE A ARER CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-10-10;Fechado;S;Profissional;N;N;N
21948;VNWG01736457943;155480;2025-01-09;2025-01-09;SUBCLASSE A J&H CLASSE DE INVEST EM COTAS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-10-22;Aberto;S;Profissional;N;N;N
22057;T4FUH1737645283;164100;2025-01-23;2025-01-23;SUBCLASSE A PALÁDIO CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-01-28;Aberto;S;Profissional;N;N;N
22310;SLCMU1741293638;183792;2025-03-06;2025-03-06;SUBCLASSE SÊNIOR SAFRA INFRA INOVAÇÃO PRÉ RF CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA;Em Funcionamento Normal;2025-03-21;Fechado;N;Profissional;N;N;N
22368;NLU9D1741869903;186260;2025-03-13;2025-03-13;SUBCLASSE SÊNIOR SAFRA INFRA EXCLUSIVO PRÉ RF CI EM INFRAESTRUTURA EM RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-03-21;Fechado;N;Qualificado;N;N;N
22474;ZVXKW1743101710;198430;2025-03-27;2025-03-27;SUBCLASSE A TSMG CLASSE DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;2025-03-27;Aberto;S;Profissional;N;N;N
22475;FWD2D1743103128;198447;2025-03-27;2025-03-27;SUBCLASSE SÊNIOR SAFRA INFRA EXCLUSIVO PRÉ II RF CI EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-04-04;Fechado;N;Qualificado;N;N;N
22478;EXNTY1743109137;198544;2025-03-27;2025-03-27;SUBCLASSE SÊNIOR SAFRA INFRA INOVAÇÃO PRÉ II RF CI EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-04-04;Fechado;N;Profissional;N;N;N
22501;L65DO1743606926;209180;2025-04-02;2025-04-02;SUBCLASSE A SAFRA BUILDING BLOCK INCENTIVADO IMA-B II CIC INV EM INFRAESTRUTURA RF RESP LIMITADA;Em Funcionamento Normal;2025-09-15;Aberto;N;Qualificado;N;N;N
22502;ZUOJF1743611135;209210;2025-04-02;2025-04-02;SUBCLASSE A VILA REAL 3 CLASSE DE INV EM COTAS DE INV EM INFRAESTRUTURA RENDA FIXA RESP LIMITADA;Em Funcionamento Normal;2025-08-22;Aberto;S;Profissional;N;N;N
22673;MHUXC1745927562;232450;2025-04-29;2025-04-29;SUBCLASSE A OLÍVIA CLASSE DE INVESTIMENTO RENDA FIXA EM INFRAESTRUTURA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-05-20;Aberto;S;Profissional;N;N;N
22799;IKMCG1747405207;252808;2025-05-16;2025-05-15;SUBCLASSE SUBORDINADA SAFRA INFRA INOVAÇÃO PRÉ III RF CI EM INFRAESTRUTURA EM RF RESP LIMITADA;Em Funcionamento Normal;2025-05-30;Fechado;N;Qualificado;N;N;N
22799;TSEAL1747343073;251828;2025-05-15;2025-05-15;SUBCLASSE SÊNIOR SAFRA INFRA INOVAÇÃO PRÉ III RENDA FIXA CI EM INFRAESTRUTURA EM RF RESP LIMITADA;Em Funcionamento Normal;2025-05-30;Fechado;N;Qualificado;N;N;N
