ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
70961;14442;42730834000100;15687;2024-01-30;2021-09-08;2024-01-30;Classes de Cotas de Fundos FIF;SPARTA INFRA FI EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-01-30;Renda Fixa;Índice de Mercado Andima todas NTN-B;S;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;2072426041.34;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
71684;14791;43140450000192;15695;2024-01-30;2021-12-07;2024-01-30;Classes de Cotas de Fundos FIF;SPARTA INFRA MASTER I FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-01-30;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;466676946.59;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
75607;16839;48970212000128;132640;2024-10-01;2022-12-23;2024-10-01;Classes de Cotas de Fundos FIF;SPARTA INFRA CDI MASTER I FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-10-01;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;388539029.24;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
75610;16842;48973783000116;271241;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FIF;SPARTA INFRA CDI FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF;Em Funcionamento Normal;2025-06-26;Renda Fixa;Não se aplica;S;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;2779258101.46;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
77703;18049;51924043000102;6602;2023-11-28;2023-08-22;2023-11-28;Classes de Cotas de Fundos FIF;SPARTA INFRA MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2023-12-05;Renda Fixa;OUTROS;N;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;618563411.73;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
80318;19799;54773359000120;32077;2024-04-17;2024-04-17;2024-04-17;Classes de Cotas de Fundos FIF;SPARTA INFRA MASTER VI FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-05-31;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;977937840.33;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
81917;21015;57110842000113;60615;2024-09-02;2024-09-02;2024-09-02;Classes de Cotas de Fundos FIF;SPARTA INFRA CDI MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;Em Funcionamento Normal;2024-10-03;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Crédito Livre;;N;N;N;Fechado;N;Público Geral;951281103.16;2026-09-02;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;30306294000145;BANCO BTG PACTUAL S/A;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
82888;21759;58390457000130;93793;2024-12-09;2024-12-09;2024-12-09;Classes de Cotas de Fundos FIF;SPARTA INFRA INFLAÇÃO LONGA FI EM COTAS DE FI EM INFRAESTRUTURA RENDA FIXA - RESP LIMITADA;Em Funcionamento Normal;2024-12-20;Renda Fixa;Não se aplica;S;Renda Fixa Duração Livre Grau de Invest.;;;N;N;Fechado;N;Público Geral;991624208.68;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
82929;21793;58443398000110;94366;2024-12-12;2024-12-12;2024-12-12;Classes de Cotas de Fundos FIF;SPARTA INFRA INFLAÇÃO LONGA MASTER I FI EM INFRAESTRUTURA RENDA FIXA - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-12-20;Renda Fixa;Não se aplica;N;Renda Fixa Duração Livre Grau de Invest.;;;N;N;Fechado;N;Público Geral;28204770.68;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
84545;23159;61643338000156;274780;2025-07-08;2025-07-08;2025-07-08;Classes de Cotas de Fundos FIF;SPARTA INFRA INFLAÇÃO LONGA MASTER II FI EM INFRAESTRUTURA RENDA FIXA - RESP LIMITADA;Em Funcionamento Normal;2025-09-04;Renda Fixa;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);N;Renda Fixa Duração Livre Crédito Livre;;;N;N;Fechado;N;Público Geral;236114076.02;2026-09-02;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42272526000170;BNY MELLON BANCO S.A.;02201501000161;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.
