ID_Registro_Fundo;CNPJ_Fundo;Codigo_CVM;Data_Registro;Data_Constituicao;Tipo_Fundo;Denominacao_Social;Data_Cancelamento;Situacao;Data_Inicio_Situacao;Data_Adaptacao_RCVM175;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Patrimonio_Liquido;Data_Patrimonio_Liquido;Diretor;CNPJ_Administrador;Administrador;Tipo_Pessoa_Gestor;CPF_CNPJ_Gestor;Gestor
1581;48903610000121;322165;2022-12-15;2022-12-15;FII;SPARTA FIAGRO FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - IMOB RESP LIMITADA;2025-06-11;Cancelado;2025-06-11;2025-06-11;2025-01-01;2025-12-31;241974292.21;2025-05-31;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
70961;42730834000100;429538;2021-09-10;2021-09-08;FI;SPARTA INFRA FI EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;;Em Funcionamento Normal;2021-12-08;2024-01-30;2026-07-01;2027-06-30;2121896047.74;2024-09-27;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
71684;43140450000192;441988;2021-12-08;2021-12-07;FI;SPARTA INFRA MASTER I FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;;Em Funcionamento Normal;2021-12-08;2024-01-30;2026-07-01;2027-06-30;91397277.62;2024-09-27;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
73926;46063231000145;457000;2022-04-27;2022-04-27;FI;SPARTA INFRA MASTER II FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2023-04-26;Cancelado;2023-04-26;;2022-07-01;2023-06-30;0.00;2023-06-22;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
74122;46339598000149;474258;2022-09-27;2022-09-26;FI;SPARTA INFRA MASTER III FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2026-02-25;Cancelado;2026-02-25;2024-01-30;2025-07-01;2026-06-30;398226736.69;2024-09-27;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
75554;48916165000134;483451;2022-12-16;2022-12-16;FI;SPARTA INFRA MASTER IV FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2024-02-27;Cancelado;2024-02-27;2024-01-30;2023-07-01;2024-06-30;0.00;2024-03-26;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
75607;48970212000128;483982;2022-12-23;2022-12-23;FI;SPARTA INFRA CDI MASTER I FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;;Em Funcionamento Normal;2023-02-17;2024-10-01;2026-07-01;2027-06-30;156364382.63;2025-03-21;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
75610;48973783000116;484016;2022-12-26;2022-12-23;FI;SPARTA INFRA CDI FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF;;Em Funcionamento Normal;2023-02-17;2025-06-26;2026-07-01;2027-06-30;1404703086.58;2025-07-01;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
76542;50313937000195;493392;2023-04-13;2023-04-13;FI;SPARTA INFRA CDI MASTER II FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2024-11-06;Cancelado;2024-11-06;;2024-07-01;2025-06-30;0.00;2024-11-19;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
77703;51924043000102;505048;2023-08-23;2023-08-22;FI;SPARTA INFRA MASTER V FUNDO INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;;Em Funcionamento Normal;2023-12-05;2023-11-28;2026-07-01;2027-06-30;627267866.94;2024-09-27;GUSTAVO COTTA PIERSANTI;59281253000123;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;PJ;72745714000130;SPARTA ADMINISTRADORA DE RECURSOS LTDA
