# Fundos de infraestrutura (FI-Infra) do ranking, com o CNPJ ja resolvido.
#
# ESTE ARQUIVO E GERADO PELA MAQUINA. Voce so mexe nele para colar um CNPJ que
# ela nao conseguiu descobrir sozinha.
#
# De onde vem cada coluna:
#   TICKER, RAZAO_B3  da lista de fundos listados da B3 (fiib3/b3/fiinfra.csv).
#                     E a unica fonte publica que liga nome a codigo de
#                     negociacao: a CVM nao publica esse vinculo para FI-Infra.
#   CNPJ, NOME_CVM    descobertos casando a razao social da B3 com o cadastro
#                     da CVM (fiib3/casamento.py).
#   CONFERIDO_EM      quando o casamento foi feito.
#
# A cada execucao o baixar_informe_fii.py:
#   - sincroniza com a lista da B3 (codigo novo entra, codigo que saiu de
#     negociacao sai, razao social alterada zera o CNPJ para reconferir);
#   - reconfere que o CNPJ existe no cadastro da CVM, esta em funcionamento
#     normal e mantem a mesma razao social;
#   - confere que o fundo aparece no informe diario recente.
# Falhou qualquer uma dessas, o fundo sai do universo e o motivo vai para o log.
#
# QUANDO UM CODIGO FICA SEM CNPJ
# Acontece quando dois fundos do mesmo gestor tem nomes que so diferem por uma
# palavra — tipicamente um fundo e o FIC que investe nele, e so o FIC negocia.
# A maquina se recusa a escolher e escreve os candidatos em
# fiinfra_pendentes.txt, com CNPJ pronto para colar. Confira e cole aqui.
#
# PARA ATUALIZAR O UNIVERSO
# Baixe a lista em b3.com.br (Produtos e Servicos > Renda Variavel > Fundos >
# Fundos de Infraestrutura > download) e substitua fiib3/b3/fiinfra.csv.
TICKER;RAZAO_B3;CNPJ;NOME_CVM;CONFERIDO_EM
BCDI11;BTG PACTUAL DÍVIDA INFR CDI FIC DE FI INF RF CP RL;55432303000175;BTG PACTUAL DÍVIDA INFRA CDI FI EM COTAS DE FUNDOS INCENT DE INV EM INFRA RENDA FIXA CP RESP LIM;2026-09-08
BDIF11;BTG PACTUAL DÍVIDA INFRA FIC. FDO. INC. IE. RF. CP;40502607000194;BTG PACTUAL DÍVIDA INFRA FIF EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA;2026-09-08
BIDB11;INTER INFRA FIC INFRA RENDA FIXA CRÉDITO PRIVADO;;;
BINC11;BRADESCO FIC DE FI FIN RF INV IE CDI RF CP RES LIM;55239865000105;BRADESCO FIF - CIC RF INCENTIVADO DE INVESTIMENTO EM INFRAESTRUTURA CDI CRED PRIV - RESP LIMITADA;2026-09-08
BISE11;BRADESCO ISENTO 2031 FUNDO DE INVESTIMENTO;;;
BODB11;BOCAINA INFRA - FDO INV COTAS FDO INV INFRA RF CP;;;
BODI11;BOCAINA INFRA CDI FIC FI INFRA RF;64026723000142;BOCAINA INFRA CDI FIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA RESP LIMITADA;2026-09-08
BRZD11;BRZ INFRA F. DE IN. EM C. DE F. INCENTIVADOS INFRA;;;
CDII11;SPARTA INFRA CDI FIC FI INFRA RENDA FIXA CP;48973783000116;SPARTA INFRA CDI FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF;2026-09-08
CPDI11;CAPITÂNIA INFRA CDI FIC DE FI DE INV EM INFRA RF;;;
CPTI11;CAPITÂNIA FDO. INV. FINANCEIRO IE. RF.;38065012000177;CAPITANIA FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA;2026-09-08
DBIN11;RB INFRA FI FIC RENDA FIXA RES LTDA;55826668000184;RB INFRA FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA;2026-09-08
DIVS11;SPARTA INFRA INFLAÇÃO LONGA FI COTAS FI INFRA E RE;;;
EXIF11;ÉXES FIC FI INFRA RENDA FIXA PRIVADO LONGO PRAZO;;;
IFRA11;ITAÚ FIF - CIC FIF INCEN EM INFRA RF CRED PRIV - R;34633510000118;ITAÚ FIF - CIC FIF INCENTIVADOS EM INFRA RF CRED PRIV - RESP LIMITADA;2026-09-08
IFRI11;ITAÚ FIC FI INVEST FINAN INFRA CDI RF CRED PRIV;53556099000179;ITAÚ FIC DE FUNDOS INCENTIVADOS DE INVEST FINANCEIRO EM INFRAESTR CDI RF CRÉD PRIV - RESP LIMITADA;2026-09-08
